text,label
"This product is amazing! I love it so much.",positive
"Terrible quality. Complete waste of money.",negative
"Best purchase I've ever made. Highly recommend!",positive
"Horrible experience. Never coming back.",negative
"Absolutely fantastic! Exceeded my expectations.",positive
"Poor customer service and bad product.",negative
"Love this item! Works perfectly.",positive
"Worst investment ever. Total disappointment.",negative
"Outstanding quality! Very impressed.",positive
"Defective and useless. Very upset.",negative
"Five stars! Would buy again.",positive
"Completely broken. Not worth it.",negative
"Excellent service and great product.",positive
"Disappointing. Did not meet expectations.",negative
"Amazing value for money. Highly satisfied!",positive
"Garbage product. Save your money.",negative
"Perfect! Exactly what I needed.",positive
"Frustrating experience from start to finish.",negative
"Wonderful quality. Very happy with purchase.",positive
"Waste of time and money. Very unhappy.",negative
"Superb product. Highly recommended!",positive
"Absolutely terrible. Avoid at all costs.",negative
"Fantastic! Better than expected.",positive
"Poor design and bad quality overall.",negative
"Great item! Very pleased.",positive
"Disgusting product. Total letdown.",negative
"Excellent! Exactly as described.",positive
"Defective upon arrival. Very frustrated.",negative
"Love it! Best deal ever.",positive
"Unacceptable. Complete disaster.",negative
